field_name,type,meaning,example,字段组,必填级别,缺失处理,常见别名或表达,统一表达规则,校验与歧义边界,证据要求,purchase_orders中同名列,electronics中同名列,对应原始列,本次值来源分类,来源说明,责任方,适用范围,字典版本
manufacturer,string,采购要求的制造商,QQ Demo Components,产品,关键,缺失时保留MISSING并请求确认；不能从任一供应商报价反向填入,Required Manufacturer; Manufacturer; Mfr,只清理首尾空白；经审阅的主体别名才可统一,供应商名称不等于制造商；需求值与报价值分别保存,采购需求表单或结构化API提交记录,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
manufacturer_part_number,string,采购要求的制造商产品料号,QW-MCU9-DEMO,产品,关键,缺失时不能进行精确规格比较；请求确认,Required MPN; Manufacturer P/N; Part Number; MPN,保留连字符、后缀和前导零；仅做明确的大小写或空白规范化,买方内部料号或供应商SKU不能无映射地替代MPN；禁止模糊匹配替代料,采购需求表单及用户确认记录,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
package,string,采购要求的器件本体封装,QFN-32,产品,关键,缺失时请求确认；不从报价多数票推断,Required Package; Package; Case Style,在审阅别名表内可将QFN32候选化为QFN-32,tray等销售包装不是器件封装；尺寸或焊盘后缀不能随意删除,采购需求表单及规格确认记录,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
revision,string,采购要求的器件版本,R1,产品,关键,当前场景要求R1；缺失时请求确认,Required Revision; Device Revision; Rev.,去除明确的标签前缀并保留版本主体,不得与报价版本quote_version或文件版本混淆,采购需求表单及规格确认记录,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
condition,enum,允许的产品新旧状态,NEW,产品,关键,缺失时请求确认；不得默认全新,Required Condition; Product Condition,明确New或Brand new可候选为NEW；其他状态保留原意,只允许团队冻结的枚举；翻新、二手和混合批次不能转成NEW,采购需求表单及用户确认记录,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
allow_substitutes,boolean,是否允许替代料,false,产品,关键,缺失时请求确认；不得默认允许或不允许,Allow Substitutes; Alternatives Allowed,仅接受明确true/false或经确认的是/否,文档或供应商指令不能改变买方设定；false是有效值不是缺失,采购需求表单及用户确认记录,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
base_unit,enum,比较和计算使用的统一基础单位,piece,产品,关键,缺失时不能进行数量和价格基数换算；由批准的商品规则提供,Base Unit; Comparison Unit,本场景固定piece；单位别名须通过审阅映射,不得把tray、reel、kg或set直接当piece；与quantity_unit含义分开,采购需求配置及单位规则版本,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
required_quantity,integer,采购需求数量,1000,数量,关键,缺失或无效时阻止比较并请求确认,Required Quantity; Demand Qty; Requested Qty,解析为正整数并与quantity_unit成对保存,必须大于0；不能使用历史quantity、报价MOQ或库存补齐,采购需求表单及用户确认记录,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
quantity_unit,enum,采购需求数量的计量单位,piece,数量,关键,缺失时不能解释required_quantity；请求确认,Quantity UOM; Required Unit; UOM,pcs、pieces在批准映射下统一为piece,必须能映射到base_unit；未知单位不自动换算,采购需求表单及单位原始输入,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
budget_amount,decimal string,本次采购预算金额,8000.00,预算,关键,缺失时无法进行预算硬约束判断；请求确认,Budget; Maximum Budget; Budget Amount,API使用十进制字符串；保留输入精度；业务计算使用Decimal,必须非负；不包含币种；不能从历史line_total或报价总额倒推,采购需求表单及用户确认记录,否,否,无,团队合成,两份原始采购订单CSV无此采购需求列；当前示例由团队为MCU-DEMO-001设置；真实运行由用户或已批准配置提供,A定义；C业务核验；D版本与持久化,采购需求字段；不作为供应商报价提取值,1.2.0
