field_name,type,meaning,example,字段组,必填级别,缺失处理,常见别名或表达,统一表达规则,校验与歧义边界,证据要求,purchase_orders中同名列,electronics中同名列,对应原始列,本次值来源分类,来源说明,责任方,适用范围,字典版本
supplier_id,string,供应商身份编号,SUP-022,身份,系统,报价可不印；D建立或核对受管供应商身份,Supplier ID; Vendor Code; Supplier Code,保留前导零；按已确认主体映射,名称近似不可直接合并；买方编号不一定是供应商编号,源素材映射或后端主体记录,是,是,supplier_id,原始值复制,由选中历史记录复制；源数据自身为开源合成数据,A定义；D身份管理或C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
supplier_name,string,出具报价的供应商名称,Redwood Components,身份,关键,可先提取；可追溯比较前确认主体,Supplier; Vendor; Seller; Company; vendor_name,只清理首尾空白；保留公司后缀和原名,区分买方/收件人/制造商；主体不明确需核对,报价抬头或名称单元格,是,是,supplier_name,原始值复制,由选中历史记录复制；源数据自身为开源合成数据,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
supplier_country,string/blank,供应商所在国家,USA,身份,可选,可空；本场景不据此阻断比较,Supplier Country; Vendor Country; Country（需核对）,按明确供应商地址及经审阅别名规范化,原产国/发货地不同；不能推断币种税费运费,明确供应商国家字段,是,是,supplier_country,原始值复制,由选中历史记录复制；源数据自身为开源合成数据,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
category,string/blank,采购类别标签,Electronics,规格,可选,可空；需求关联的值不冒充报价提取,Category; Product Category; Commodity,明确类别标签才可归一,不作为精确器件匹配依据,类别列或已确认需求,是,是,category,原始值沿用,固定筛选标签，与三条选中历史记录一致,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
item,string/blank,商品目录名称,Microcontroller MCU-9,规格,可选,精确规格齐全时可空,Item; Description; Product; product_description,可从复合描述提取；保留原文,MCU-9是合成目录名；名称不等于MPN,商品描述,是,是,item,原始值沿用,固定筛选标签，与三条选中历史记录一致,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
manufacturer,string/blank,制造商,QQ Demo Components,规格,关键,缺失需确认；不能从采购需求补成报价事实,Manufacturer; Mfr; Maker; Brand（需核对）,别名须确认是同一主体,供应商不默认等于制造商；分销商不能替代本字段,产品行明确制造商,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
manufacturer_part_number,string/blank,制造商产品料号,QW-MCU9-DEMO,规格,关键,缺失需确认；SKU不能直接替代,MPN; Mfr Part No.; Manufacturer P/N; Part No.; part,去首尾空白；保留连字符/后缀/前导零,供应商SKU和买方料号需映射证据；禁止模糊匹配替代料,明确料号字段,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
package,string/blank,器件本体封装,QFN-32,规格,关键,缺失需确认,Package; Case Style; case_style; package_revision,QFN32只在本场景审阅别名表下候选化为QFN-32,tray是销售包装；封装尺寸焊盘后缀不能随意删除,产品封装声明,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
revision,string/blank,器件版本,R1,规格,条件关键,本场景要求R1，缺失需确认,Rev.; Device Revision; package_revision,Rev R1候选为R1；保留原文,不能将报价V1或文件版本当器件版本,产品规格版本,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
condition,enum/blank,产品新旧状态,NEW,规格,关键,缺失需确认；不默认全新,Condition; item_condition; Product Status,明确Brand new/New可候选NEW；Unused核对上下文,翻新/二手/混合批次不转成NEW；明确不符由C排除,状态声明与相关限定,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
currency,string/blank,报价币种,SGD,价格,关键,缺失或符号歧义需确认,Currency; CCY; 金额前缀,SGD直接统一；S$结合全文；单独$不猜币种,不得从国家或预算推断；混币种不自动换汇,币种列或适用全表的声明,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
unit_price,decimal string/blank,覆盖price_basis_quantity颗的价格,640,价格,关键,未知null；不读历史价格补齐,Unit Price; Rate; each_price; price_offer; unit_rate,拆出币种与价格基数；保留原单价精度,正价；零价待核对；阶梯/折扣/区间报价超当前固定价范围,价格及适用数量范围,是,是,unit_price,同名字段但值重新合成,选中历史单价A=7.62/B=6.84/C=7.41；当前价格640.00/6.80/660.00另设且基数不同,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
price_basis_quantity,integer/blank,本笔unit_price覆盖的颗数,100,价格,关键,按盘但盘内颗数不明时需确认,Price per; Per Qty; Basis; per100pcs,per piece=1；per100pcs=100；per tray须另有盘内颗数,正整数；按百颗计价不等于整百采购；保留组合依据,价格+单位+包装数量原文,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
price_basis_unit,enum/blank,统一价格基数单位,piece,价格,关键,单位不明需确认,UOM; Price Unit; ea; pcs; Unit（歧义）,明确单件时ea/pcs/pieces归一piece,当前piece；kg/套不能直接换成颗；不能只看Unit列名,计价单位标题和单元格,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
packaging_type,enum/blank,销售包装方式,tray,包装,条件关键,影响价格或整包限制时需确认,Packing; Packaging; Pack Type; pack_configuration,明确tray或按颗供货piece才映射,按颗计价不证明按颗售卖；reel/carton不偷换tray,销售包装声明,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
units_per_pack,integer/blank,每个销售包装内的颗数,100,包装,条件关键,涉及按包装计价或整包购买时需确认,Pack Size; Qty per Tray; Pieces per Pack; packing,100pcs/tray提取100；明确单颗供货才可1,正整数；不根据库存/历史quantity/MOQ倒推,包装容量原文,否,否,无,团队合成,两份原始文件无此列；当前值为演示设定，不能成为真实报价默认值,A定义；B提取；C业务核验,现有报价字段；别名为设计及扩展测试,1.2.0
