field_name,type,meaning,example
scenario_id,string,Stable synthetic scenario identifier,MCU-DEMO-001
quote_id,string,Stable quotation identifier,QUOTE-MCU-DEMO-001-A
quote_version,integer,Quotation content version,1
document_id,string,Stable generated document identifier,DOC-MCU-DEMO-001-A-V1
supplier_alias,enum,Demo alias used in the reference scenario,A|B|C
supplier_id,string,Supplier identifier copied from source material,SUP-022
supplier_name,string,Supplier name copied from source material,Redwood Components
supplier_country,string,Supplier country copied from source material,USA
manufacturer,string,Required synthetic manufacturer,QQ Demo Components
manufacturer_part_number,string,Required synthetic part number,QW-MCU9-DEMO
package,string,Hard package constraint,QFN-32
revision,string,Required part revision,R1
condition,enum,Product condition,NEW
currency,enum,Quotation currency,SGD
unit_price,decimal string,Price covering price_basis_quantity,640.00
price_basis_quantity,integer,Pieces covered by unit_price,100
price_basis_unit,enum,Normalized price basis unit,piece
packaging_type,enum,Physical sales package,tray|piece
units_per_pack,integer,Pieces in one physical package,100
order_multiple_units,integer,Required ordering increment in pieces,100
moq_quantity,integer,Minimum order quantity in moq_unit,20
moq_unit,enum,Unit used by MOQ,tray|piece
shipping_fee_status,enum/blank,"FREE, KNOWN_AMOUNT, INCLUDED, NOT_APPLICABLE, or missing",FREE
shipping_fee_amount,decimal string/blank,Shipping amount only when known,500.00
other_fees_status,enum,State of non-shipping fees,NOT_APPLICABLE
other_fees_amount,decimal string,Known non-shipping fees,0.00
fees_complete,boolean,Whether decision-relevant fee coverage is complete,true|false
tax_mode,enum,Tax treatment for the synthetic scenario,NOT_APPLICABLE
lead_time_days,integer,Arrival lead time,3
day_basis,enum,Calendar or business day basis,CALENDAR_DAYS
delivery_semantics,enum,ARRIVAL or SHIPMENT,ARRIVAL
start_event,enum,Event from which lead time runs,ORDER_DATE
start_date,date,Confirmed common order date,2026-09-14
delivery_location,string,Synthetic common delivery point,SG-DEMO-01
payment_terms,string,Current synthetic payment terms,Net 30
quote_date,date,Current synthetic quotation date,2026-09-13
valid_until,date,Valid through end of local date,2026-09-20
source_po_id,string,Historical source-material mapping only,PO-2023-00279
is_synthetic,boolean,Marks generated demonstration content,true
