scenario_id,quote_id,quote_version,document_id,supplier_alias,supplier_id,supplier_name,supplier_country,category,item,manufacturer,manufacturer_part_number,package,revision,condition,currency,unit_price,price_basis_quantity,price_basis_unit,packaging_type,units_per_pack,order_multiple_units,moq_quantity,moq_unit,shipping_fee_status,shipping_fee_amount,other_fees_status,other_fees_amount,fees_complete,tax_mode,lead_time_days,day_basis,delivery_semantics,start_event,start_date,delivery_location,payment_terms,quote_date,valid_until,source_po_id,is_synthetic
MCU-V9-TRADEOFF,quote-v9-a,1,doc-v9-a,A,V9-SUP-A,Synthetic Aurora Express Components Pte. Ltd.,Singapore,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-32,R1,NEW,SGD,7.95,1,piece,PIECE,1,50,500,piece,FREE,0.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,2,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 15,2026-09-17,2026-10-10,,true
MCU-V9-TRADEOFF,quote-v9-b,1,doc-v9-b,B,V9-SUP-B,Synthetic Bridgeway Semiconductors Ltd.,Malaysia,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-32,R1,NEW,SGD,7.10,1,piece,TRAY,100,100,500,piece,KNOWN_AMOUNT,40.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,4,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 30,2026-09-17,2026-10-10,,true
MCU-V9-TRADEOFF,quote-v9-c,1,doc-v9-c,C,V9-SUP-C,Synthetic Cedar Economy Electronics Ltd.,Singapore,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-32,R1,NEW,SGD,6.10,1,piece,TRAY,500,500,1000,piece,KNOWN_AMOUNT,50.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,10,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 30,2026-09-17,2026-10-10,,true
MCU-V9-TRADEOFF,quote-v9-d,1,doc-v9-d,D,V9-SUP-D,Synthetic Delta Global Components Inc.,United States,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-32,R1,NEW,USD,4.39,1,piece,TRAY,100,100,500,piece,KNOWN_AMOUNT,15.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,5,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 45,2026-09-17,2026-10-10,,true
MCU-V9-TRADEOFF,quote-v9-e,1,doc-v9-e,E,V9-SUP-E,Synthetic Evergreen Precision Parts Ltd.,Singapore,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-32,R1,NEW,SGD,7.32,1,piece,PIECE,1,50,500,piece,KNOWN_AMOUNT,50.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,7,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 30,2026-09-17,2026-10-10,,true
MCU-V9-TRADEOFF,quote-v9-f,1,doc-v9-f,F,V9-SUP-F,Synthetic Fjord Volume Devices AS.,Norway,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-32,R1,NEW,SGD,5.95,1,piece,TRAY,400,400,800,piece,FREE,0.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,6,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 30,2026-09-17,2026-10-10,,true
MCU-V9-TRADEOFF,quote-v9-g,1,doc-v9-g,G,V9-SUP-G,Synthetic Greenline Components Pte. Ltd.,Singapore,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-32,R1,NEW,SGD,7.40,1,piece,PIECE,1,50,500,piece,FREE,0.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,3,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 60,2026-09-17,2026-10-10,,true
MCU-V9-TRADEOFF,quote-v9-h,1,doc-v9-h,H,V9-SUP-H,Synthetic Harbor Discount Electronics Ltd.,Malaysia,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-32,R1,NEW,SGD,7.20,1,piece,PIECE,1,50,500,piece,FREE,0.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,14,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 30,2026-09-17,2026-10-10,,true
MCU-V9-TRADEOFF,quote-v9-i,1,doc-v9-i,I,V9-SUP-I,Synthetic Ironwood Bulk Supply Co.,Singapore,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-32,R1,NEW,SGD,5.90,1,piece,TRAY,500,500,2000,piece,FREE,0.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,4,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 30,2026-09-17,2026-10-10,,true
MCU-V9-TRADEOFF,quote-v9-j,1,doc-v9-j,J,V9-SUP-J,Synthetic Juniper Alternate Parts Ltd.,Singapore,Electronic components,QW evaluation controller,QQ Demo Components,QW-MCU9-DEMO,QFN-48,R1,NEW,SGD,6.00,1,piece,PIECE,1,50,500,piece,KNOWN_AMOUNT,100.00,NOT_APPLICABLE,0.00,true,NOT_APPLICABLE,3,CALENDAR_DAYS,ARRIVAL,ORDER_DATE,2026-09-20,SG-DEMO-01,Net 30,2026-09-17,2026-10-10,,true
