field_name,type,meaning,example,字段组,必填级别,缺失处理,常见别名或表达,统一表达规则,校验与歧义边界,证据要求,purchase_orders中同名列,electronics中同名列,对应原始列,本次值来源分类,来源说明,责任方,适用范围,字典版本
schema_version,string,业务数据结构版本,1.0.0,结构版本,系统,缺失或不受支持时拒绝解析；不得使用字典版本代替,无,使用团队冻结的语义版本字符串,数据字典版本与schema_version分别管理；只改说明不自动升级schema,系统配置与序列化记录,否,否,无,系统元数据,由系统配置提供；两份原始CSV无此列,A定义；D管理版本,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
task_id,string,一次供应商比较任务的内部标识,TASK-MCU-DEMO-001,任务身份,系统,创建任务时由后端分配；缺失时拒绝保存关联记录,无,保留原样；不得从文件名、scenario_id或供应商信息生成业务关联,所有需求、报价、问题、快照和结果必须属于同一受权任务,后端任务记录,否,否,无,系统生成标识,由D负责的后端身份生成；不是报价原文,A定义；D身份管理,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
task_revision,integer,任务外部决策输入的当前修订号,1,任务版本,系统,由后端创建并递增；缺失时不能发布结果或审批,无,保存正整数；提交时携带expected_task_revision,需求、文件、确认、纠正、范围或规则变化时递增；旧作业不得覆盖新版,任务版本记录和事务校验,否,否,无,系统元数据,由D按版本协议维护；两份原始CSV无此列,A定义；D版本和并发控制,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
scenario_id,string/blank,合成演示或评测场景标识,MCU-DEMO-001,测试身份,可选,生产任务可空；测试输入应由数据包配置提供,无,保留原样；与task_id分开,同内容PDF与CSV可共享场景；不得据此读取参考答案或硬编码结果,测试数据包配置,否,否,无,系统生成标识,演示配置字段；不是实际采购或报价事实,A测试数据定义；D隔离,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
quote_id,string,一份逻辑报价的内部标识,QUOTE-MCU-DEMO-001-A,报价身份,系统,接收报价时由后端分配；缺失时不能关联字段或比较结果,无；不能把Quote No.直接当内部ID,保留原样；外部报价号应另存为文档候选或原始值,不同供应商、文件或版本不能错误共用同一身份,后端报价记录,否,否,无,系统生成标识,由D生成；不是供应商文档中的报价号,A定义；D身份管理,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
quote_version,integer,逻辑报价的内容版本,1,报价版本,系统,由后端创建；缺失时不能判断字段和结果是否属于当前报价,无,保存正整数；新版报价创建新版本,新版本不自动继承旧人工补充或排除状态；旧版本只供审计,后端报价版本记录,否,否,无,系统元数据,由D版本协议产生；两份原始CSV无此列,A定义；D版本管理,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
document_id,string,上传文件的内部标识,DOC-MCU-DEMO-001-A-V1,文件身份,系统,文件登记时由后端分配；缺失时拒绝接受来源引用,无,保留原样；不依赖可重复或可修改的文件名,PDF与CSV即使内容相同也属于不同文件；必须与任务和报价关联,后端文件登记记录,否,否,无,系统生成标识,由D生成；不是报价内容,A定义；D文件管理,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
document_version,integer,受管文件内容版本,1,文件版本,系统,文件首次登记或替换时生成；缺失时不能校验引用,无,保存正整数并绑定document_sha256,同名文件内容变化必须形成新版本；旧引用不能挂到新版本,文件版本记录,否,否,无,系统元数据,由D维护；两份原始CSV无此列,A定义；D文件版本管理,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
document_sha256,string,上传文件实际字节的SHA-256,9f2c...（示意）,文件证据,系统,文件接收时计算；计算失败时不得进入可引用状态,SHA-256; File Hash,统一为64位小写十六进制；示例缩写不得进入真实记录,必须对实际文件字节计算；规范化换行哈希不能冒充文件哈希,后端文件接收过程独立计算,否,否,无,系统元数据,系统对当前文件字节计算；两份原始CSV无同名列,A定义；B或D计算并校验,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
supplier_alias,string/blank,演示中A、B、C等供应商显示简称,A,测试身份,可选,真实业务可空；缺失不影响主体或报价计算,无,仅作显示；不用于查找答案或决定排名,不得代替supplier_id或supplier_name；新版报价不靠别名关联,测试配置,否,否,无,系统生成标识,演示配置字段；不是供应商事实,A测试数据定义；D隔离,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
field_id,string,一条标准化报价字段记录的内部标识,FIELD-QUOTE-A-MPN-V1,字段身份,系统,保存候选字段时由后端分配；缺失时不能做版本化纠正,无,保留原样并与quote_id、quote_version绑定,同一业务字段的不同候选或版本必须可区分,后端字段记录,否,否,无,系统生成标识,由D生成；两份原始CSV无此列,A定义；D字段身份管理,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
field_version,integer,报价字段记录的修订版本,1,字段版本,系统,由后端创建并递增；不覆盖旧候选,无,保存正整数,用户纠正生成新版本；旧值、证据和操作者继续保留,字段版本记录,否,否,无,系统元数据,由D维护；两份原始CSV无此列,A定义；D版本管理,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
field_name,string,候选值对应的标准报价字段名,manufacturer_part_number,字段候选,系统,必须从批准的供应商报价数据字典选择；未知外来字段另存原始列,无,使用冻结的snake_case字段名,不得让模型创造未批准字段或把近似语义强行映射,数据字典版本及候选记录,否,否,无,系统元数据,标准字段名称由A维护；不是原始业务值,A定义；B匹配；D校验,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
raw_value,string/blank,从本次文件或用户提交保留的原始表达,QW MCU9 DEMO,字段候选,条件关键,文档明确缺失时为null；不得使用示例值或历史数据填充,无,原样保留可见文本及必要单位、币种和限定词；只做安全存储处理,空白、未知、零和不适用必须区分；不能被normalized_value覆盖,PDF文本块、CSV单元格或用户提交记录,否,否,无,系统元数据,运行时值可来自DOCUMENT、USER_INPUT或USER_CORRECTION；容器字段由系统保存,A定义；B提取；D持久化,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
normalized_value,JSON value/blank,按数据字典统一后的候选值,QW-MCU9-DEMO,字段候选,条件关键,无法可靠统一时为null或保留部分候选并创建问题,无,按目标字段类型保存；金额使用十进制字符串；日期保留约定精度,结构合法不等于已核验；不得丢失raw_value或歧义限定,关联raw_value、标准化规则版本和source_refs,否,否,无,系统元数据,由B生成候选；C或人工核验后才能成为权威输入,A定义；B标准化；C核验,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
unit,enum/blank,候选数值对应的标准单位,piece,字段候选,条件关键,非数量字段可空；需要单位但原文不明时保持null并创建问题,UOM（仅作系统字段说明）,只能使用批准单位；保留原始单位在raw_value,价格单位、包装单位、MOQ单位和需求单位不可混用,字段附近单位原文或明确人工确认,否,否,无,系统元数据,由B从证据候选化；C校验换算关系,A定义；B提取；C核验,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
validation_status,enum,字段的核验状态,EXTRACTED,字段核验,系统,每条候选必须有状态；无事实值使用MISSING,无,只允许EXTRACTED、VERIFIED、MISSING、CONFLICT,JSON合法、来源存在或模型高置信度均不能自动等于VERIFIED,核验过程、规则结果及人工确认记录,否,否,无,系统元数据,系统核验状态；两份原始CSV无此列,A定义；B提交候选；C或人工核验；D保存,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
origin,enum/blank,字段事实值的运行时来源,DOCUMENT,字段核验,条件关键,没有事实值的MISSING占位可空；有值必须说明来源,无,只允许DOCUMENT、USER_INPUT、USER_CORRECTION、DERIVED,不得与validation_status或置信度混用；DERIVED不能伪装成原文,文件、用户操作或计算规则关联记录,否,否,无,系统元数据,系统记录事实来源类别；不是本次样例生成来源分类,A定义；B/C赋值；D校验,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
source_refs,array,支持候选事实的来源引用集合,"[""SRC-PDF-A-P1-B03""]",来源证据,条件关键,有文档事实时必须提供；字段缺失时不得伪造引用,无,保存本次解析允许的稳定source_id数组,必须校验任务、文件、版本、位置和片段一致；定位正确不等于语义支持,PDF页码/文本块/坐标或CSV行号/列名记录,否,否,无,系统元数据,由B生成并由后端校验；两份原始CSV无同名列,A定义验收；B生成；D归属校验,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
parser_version,string,产生文本块、行列定位和候选的解析器版本,pdf-text-v1,解析版本,系统,每次解析必须记录；缺失时证据不可稳定复现,无,使用可发布的版本标识,同一文件用不同解析器结果不得无版本覆盖；PDF与CSV解析器可分别版本化,解析作业配置和日志,否,否,无,系统元数据,由B的解析模块提供；两份原始CSV无此列,A定义记录要求；B维护,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
verification_method,string/blank,字段采用的核验方法,SOURCE_AND_SEMANTIC_CHECK,字段核验,条件关键,EXTRACTED或MISSING可为空；VERIFIED必须记录方法,无,使用团队批准的方法标识并允许版本化,仅检查引用存在不能写成语义核验；人工确认与规则核验要区分,核验规则或人工确认记录,否,否,无,系统元数据,由核验过程产生；两份原始CSV无此列,A定义验收；B/C实现；D保存,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
verified_by,string/blank,执行字段核验的规则或受管人员标识,rule:quote-field-v1,字段核验,条件关键,非VERIFIED可空；VERIFIED必须可追溯,无,保存受管规则ID或认证用户ID；不信任客户端自报姓名,必须与verification_method和verified_at一致；模型不能自授VERIFIED,规则运行记录或认证用户操作记录,否,否,无,系统元数据,由后端记录；两份原始CSV无此列,A定义；C核验；D身份与审计,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
verified_at,datetime/blank,字段完成核验的时间,2026-09-14T09:01:00+08:00,字段核验,条件关键,非VERIFIED可空；VERIFIED必须记录,无,使用带时区的ISO 8601时间戳；数据库可转UTC并保留时区语义,不得使用文件时间或报价日期替代核验时间,后端可信时钟和核验记录,否,否,无,系统元数据,由D记录；两份原始CSV无此列,A定义；D时间与审计,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
snapshot_id,string,一次确定性比较所使用的不可变输入快照标识,SNAP-MCU-DEMO-001-R1,计算快照,系统,进入比较前由后端创建；缺失时结果不能发布为当前结果,无,保留原样并绑定task_revision及所有输入版本,快照创建后不可修改；旧快照结果不得覆盖当前修订,后端快照记录及内容哈希,否,否,无,系统生成标识,由D创建；两份原始CSV无此列,A定义验收；D快照管理,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
calculation_rule_version,string,确定性数量、费用、日期和约束规则版本,quote-calc-v1,计算版本,系统,执行比较时必须记录；缺失时结果不可复现,无,使用可发布的规则版本标识,A/B不得复制C的计算逻辑；规则升级需重新计算相关结果,C模块发布配置和结果记录,否,否,无,系统元数据,由C维护并由D写入快照；两份原始CSV无此列,A定义记录要求；C规则；D快照,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
policy_set_version,string/blank,本次解释与审批采用的采购制度集合版本,POLICY-SET-V1,制度版本,条件关键,Week 1可空；Week 2正式RAG运行必须绑定有效版本,无,使用已发布且不可变的制度集合版本,不得检索未来、失效或未批准版本；缺失时不能编造制度引用,制度注册表、检索轨迹和快照记录,否,否,无,系统元数据,Week 1预留；Week 2由制度与RAG模块提供,A定义制度版本；B检索；D持久化,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
fees_complete,boolean,决策所需费用信息是否完整,false,校验结果,系统,由费用状态、适用范围和未解决问题确定；未知时为false,无,仅保存明确true/false；不是供应商文档字段,不能因JSON合法、空白金额或模型自称完整而为true,关联运费、其他费用、税费字段和核验规则,否,否,无,系统元数据,当前生成器按场景设置；真实运行由C确定性校验,A定义；C计算；D保存,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
source_po_id,string/blank,合成演示报价对应的历史素材po_id,PO-2023-00279,测试溯源,可选,无历史素材映射时可空；不阻断真实业务,无；不是当前报价号,保留原始po_id文本并与生成manifest关联,仅用于数据治理；不得提供给Agent反推缺失条款或作为报价证据,原始CSV及生成映射记录,否,否,po_id,原始值改名映射,字段名由po_id映射；值来自选中历史记录；源数据本身为开源合成数据,A数据治理；D评测隔离,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
is_synthetic,boolean,记录是否属于合成或演示数据,true,测试溯源,系统,测试数据包必须明确；真实记录也不能仅凭false证明真实性,无,仅保存明确true/false,true不允许冒充真实报价；false不替代来源许可和授权核验,数据包说明、生成manifest或受管数据登记,否,否,无,系统元数据,由数据管理者提供；两份原始CSV无此列,A数据治理；D环境隔离,系统与证据字段；不作为供应商报价业务提取准确率字段,1.2.0
