po_id,order_date,promised_delivery_date,actual_delivery_date,supplier_id,supplier_name,supplier_country,category,item,business_unit,unit_price,quantity,line_total,payment_terms,on_contract,quality_rejected
PO-2023-00300,2023-01-01,2023-01-09,2023-01-09,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Retail Operations,60.25,179,10784.75,Net 15,True,False
PO-2023-00280,2023-01-01,2023-02-02,2023-02-02,SUP-036,Golden Dragon Components,China,Electronics,Connector Kit CK-8,Corporate,4.3,927,3986.1,Net 45,True,False
PO-2023-00347,2023-01-01,2023-02-01,2023-02-19,SUP-029,Great Wall Components,China,Electronics,Sensor Module SM-3,Field Services,28.11,560,15741.6,Net 45,True,False
PO-2023-00337,2023-01-01,2023-01-10,2023-01-11,SUP-026,Great Wall Circuits,China,Electronics,PCB Assembly A-11,Field Services,56.45,500,28225.0,Net 60,False,False
PO-2023-00288,2023-01-02,2023-01-18,2023-01-22,SUP-024,Sterling Components,USA,Electronics,Connector Kit CK-8,Corporate,4.28,3457,14795.96,Net 45,True,False
PO-2023-00293,2023-01-02,2023-01-22,2023-01-22,SUP-028,Summit Components,USA,Electronics,Connector Kit CK-8,Manufacturing,4.39,3138,13775.82,Net 45,True,False
PO-2023-00291,2023-01-02,2023-01-28,2023-01-28,SUP-032,Lotus Components,India,Electronics,Connector Kit CK-8,R&D,3.85,2301,8858.85,Net 15,True,False
PO-2023-00371,2023-01-02,2023-01-11,2023-01-11,SUP-033,Busan Components,South Korea,Electronics,Microcontroller MCU-9,Field Services,6.53,2540,16586.2,Net 45,False,False
PO-2023-00328,2023-01-03,2023-01-31,2023-01-31,SUP-028,Summit Components,USA,Electronics,Connector Kit CK-8,Retail Operations,4.6,2297,10566.2,Net 45,True,False
PO-2023-00323,2023-01-03,2023-02-02,2023-02-02,SUP-032,Lotus Components,India,Electronics,Sensor Module SM-3,Corporate,20.81,291,6055.71,Net 30,True,False
PO-2023-00298,2023-01-03,2023-01-17,2023-01-17,SUP-032,Lotus Components,India,Electronics,Microcontroller MCU-9,Manufacturing,6.46,3231,20872.26,Net 45,True,False
PO-2023-00350,2023-01-03,2023-01-14,2023-01-14,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Manufacturing,61.25,136,8330.0,Net 30,True,False
PO-2023-00289,2023-01-03,2023-01-29,2023-01-29,SUP-036,Golden Dragon Components,China,Electronics,Connector Kit CK-8,Corporate,4.65,2099,9760.35,Net 30,True,False
PO-2023-00358,2023-01-03,2023-01-15,2023-01-21,SUP-029,Great Wall Components,China,Electronics,PCB Assembly A-11,Retail Operations,55.31,566,31305.46,Net 30,True,False
PO-2023-00306,2023-01-04,2023-01-11,2023-01-11,SUP-033,Busan Components,South Korea,Electronics,Sensor Module SM-3,Manufacturing,19.88,608,12087.04,Net 30,True,False
PO-2023-00354,2023-01-04,2023-01-26,2023-01-26,SUP-036,Golden Dragon Components,China,Electronics,Microcontroller MCU-9,Field Services,8.37,1604,13425.48,Net 30,True,False
PO-2023-00380,2023-01-05,2023-02-07,2023-02-27,SUP-029,Great Wall Components,China,Electronics,Connector Kit CK-8,R&D,3.9,2499,9746.1,Net 15,True,False
PO-2023-00311,2023-01-05,2023-02-03,2023-02-03,SUP-022,Redwood Components,USA,Electronics,PCB Assembly A-11,Field Services,43.8,522,22863.6,Net 15,False,False
PO-2023-00314,2023-01-05,2023-01-27,2023-01-27,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Field Services,57.94,140,8111.6,Net 45,True,False
PO-2023-00308,2023-01-05,2023-01-10,2023-01-10,SUP-025,Cascade Semitech,USA,Electronics,Sensor Module SM-3,Manufacturing,22.76,407,9263.32,Net 30,False,False
PO-2023-00384,2023-01-05,2023-01-25,2023-01-25,SUP-034,Pacific Rim Circuits,China,Electronics,Connector Kit CK-8,Manufacturing,4.3,4293,18459.9,Net 45,True,False
PO-2023-00325,2023-01-05,2023-01-26,2023-01-26,SUP-032,Lotus Components,India,Electronics,Connector Kit CK-8,Corporate,3.48,3173,11042.04,Net 30,True,False
PO-2023-00349,2023-01-05,2023-01-15,2023-01-15,SUP-025,Cascade Semitech,USA,Electronics,Connector Kit CK-8,R&D,4.55,4101,18659.55,Net 60,False,False
PO-2023-00270,2023-01-05,2023-01-19,2023-01-19,SUP-028,Summit Components,USA,Electronics,PCB Assembly A-11,Manufacturing,51.86,438,22714.68,Net 30,True,False
PO-2023-00283,2023-01-05,2023-01-15,2023-01-15,SUP-025,Cascade Semitech,USA,Electronics,PCB Assembly A-11,Corporate,51.69,209,10803.21,Net 30,True,False
PO-2023-00294,2023-01-05,2023-02-04,2023-02-04,SUP-036,Golden Dragon Components,China,Electronics,PCB Assembly A-11,Corporate,52.52,504,26470.08,Net 45,True,False
PO-2023-00297,2023-01-06,2023-02-01,2023-02-01,SUP-028,Summit Components,USA,Electronics,PCB Assembly A-11,Corporate,51.27,676,34658.52,Net 30,False,False
PO-2023-00282,2023-01-06,2023-02-07,2023-02-09,SUP-024,Sterling Components,USA,Electronics,Power Supply Unit 450W,Corporate,57.08,85,4851.8,Net 30,True,False
PO-2023-00303,2023-01-07,2023-01-13,2023-01-13,SUP-033,Busan Components,South Korea,Electronics,PCB Assembly A-11,Field Services,40.93,262,10723.66,Net 30,False,False
PO-2023-00309,2023-01-07,2023-01-12,2023-01-12,SUP-025,Cascade Semitech,USA,Electronics,Sensor Module SM-3,R&D,24.97,374,9338.78,Net 30,True,False
PO-2023-00372,2023-01-07,2023-01-13,2023-01-13,SUP-035,Pacific Rim Semitech,China,Electronics,Power Supply Unit 450W,Manufacturing,62.31,164,10218.84,Net 60,True,False
PO-2023-00287,2023-01-08,2023-02-09,2023-02-09,SUP-036,Golden Dragon Components,China,Electronics,Sensor Module SM-3,R&D,23.5,533,12525.5,Net 60,False,False
PO-2023-00276,2023-01-08,2023-02-09,2023-02-09,SUP-028,Summit Components,USA,Electronics,PCB Assembly A-11,Retail Operations,50.33,444,22346.52,Net 60,True,False
PO-2023-00381,2023-01-08,2023-01-14,2023-01-14,SUP-025,Cascade Semitech,USA,Electronics,Sensor Module SM-3,R&D,21.64,378,8179.92,Net 45,True,False
PO-2023-00348,2023-01-08,2023-01-21,2023-01-21,SUP-028,Summit Components,USA,Electronics,Microcontroller MCU-9,Retail Operations,7.69,1787,13742.03,Net 45,True,False
PO-2023-00339,2023-01-08,2023-02-07,2023-02-07,SUP-028,Summit Components,USA,Electronics,Power Supply Unit 450W,Corporate,67.16,199,13364.84,Net 45,True,False
